method = variational
  variational
    algorithm = meanfield (Default)
      meanfield
    iter = 200000
    grad_samples = 1 (Default)
    elbo_samples = 100 (Default)
    eta = 1 (Default)
    adapt
      engaged = 1 (Default)
      iter = 50 (Default)
    tol_rel_obj = 0.0001
    eval_elbo = 100 (Default)
    output_samples = 1000 (Default)
id = 400
data
  file = data_input_files/data_input.R
init = 2 (Default)
random
  seed = 1436442963
output
  file = data_output_CV_advi_Hypo2/output_advi_Hypo2_4.csv
  diagnostic_file = data_output_CV_advi_Hypo2/output_advi_diag_Hypo2_4.R
  refresh = 1

------------------------------------------------------------
EXPERIMENTAL ALGORITHM:
  This procedure has not been thoroughly tested and may be unstable
  or buggy. The interface is subject to change.
------------------------------------------------------------



Gradient evaluation took 4.4e-05 seconds
1000 transitions using 10 leapfrog steps per transition would take 0.44 seconds.
Adjust your expectations accordingly!


Begin eta adaptation.
Iteration:   1 / 250 [  0%]  (Adaptation)
Iteration:  50 / 250 [ 20%]  (Adaptation)
Iteration: 100 / 250 [ 40%]  (Adaptation)
Iteration: 150 / 250 [ 60%]  (Adaptation)
Success! Found best value [eta = 10] earlier than expected.

Begin stochastic gradient ascent.
  iter             ELBO   delta_ELBO_mean   delta_ELBO_med   notes 
   100        -1022.153             1.000            1.000
   200         -959.453             0.533            1.000
   300         -362.885             0.903            1.000
   400         -260.698             0.775            1.000
   500         -255.346             0.624            0.392
   600         -251.293             0.523            0.392
   700         -352.081             0.489            0.286
   800         -250.478             0.479            0.392
   900         -262.419             0.431            0.286
  1000         -287.628             0.396            0.286
  1100         -240.517             0.378            0.196
  1200         -251.504             0.350            0.196
  1300         -266.246             0.328            0.088
  1400         -262.035             0.305            0.088
  1500         -241.755             0.291            0.084
  1600         -291.458             0.283            0.088
  1700         -271.101             0.271            0.084
  1800         -272.780             0.256            0.084
  1900         -247.802             0.248            0.084
  2000         -291.338             0.243            0.088
  2100         -242.922             0.241            0.088
  2200         -294.597             0.238            0.101
  2300         -259.377             0.234            0.101
  2400         -323.102             0.232            0.136
  2500         -242.723             0.236            0.136
  2600         -243.454             0.227            0.136
  2700         -258.374             0.221            0.101
  2800         -273.694             0.215            0.101
  2900         -255.986             0.210            0.088
  3000         -244.539             0.204            0.088
  3100         -243.203             0.198            0.084
  3200         -272.333             0.195            0.088
  3300         -257.171             0.191            0.084
  3400         -263.046             0.186            0.084
  3500         -255.732             0.182            0.075
  3600         -243.584             0.178            0.075
  3700         -257.738             0.175            0.069
  3800         -240.175             0.172            0.073
  3900         -249.368             0.168            0.069
  4000         -247.845             0.164            0.069
  4100         -241.673             0.161            0.065
  4200         -243.684             0.157            0.065
  4300         -251.156             0.154            0.059
  4400         -256.853             0.151            0.059
  4500         -240.959             0.149            0.059
  4600         -246.938             0.147            0.059
  4700         -248.758             0.144            0.058
  4800         -261.678             0.142            0.058
  4900         -245.543             0.140            0.058
  5000         -241.952             0.138            0.058
  5100         -270.372             0.137            0.058
  5200         -243.793             0.137            0.059
  5300         -241.152             0.134            0.058
  5400         -250.771             0.132            0.058
  5500         -266.820             0.131            0.058
  5600         -243.785             0.130            0.059
  5700         -248.089             0.128            0.058
  5800         -241.429             0.127            0.058
  5900         -280.598             0.127            0.058
  6000         -240.816             0.128            0.059
  6100         -255.251             0.126            0.058
  6200         -243.479             0.125            0.058
  6300         -244.446             0.123            0.057
  6400         -250.155             0.122            0.057
  6500         -246.477             0.120            0.056
  6600         -242.791             0.118            0.056
  6700         -248.963             0.117            0.055
  6800         -241.570             0.116            0.055
  6900         -247.163             0.114            0.055
  7000         -245.775             0.113            0.055
  7100         -244.033             0.111            0.050
  7200         -249.481             0.110            0.050
  7300         -241.004             0.109            0.049
  7400         -242.771             0.108            0.049
  7500         -243.414             0.106            0.048
  7600         -249.550             0.105            0.048
  7700         -240.415             0.104            0.047
  7800         -250.552             0.104            0.047
  7900         -266.666             0.103            0.047
  8000         -242.527             0.103            0.048
  8100         -262.893             0.103            0.048
  8200         -246.516             0.102            0.049
  8300         -245.577             0.101            0.048
  8400         -250.802             0.100            0.048
  8500         -239.865             0.099            0.047
  8600         -240.816             0.098            0.047
  8700         -241.871             0.097            0.046
  8800         -243.131             0.096            0.046
  8900         -241.996             0.095            0.046
  9000         -243.531             0.094            0.046
  9100         -241.969             0.093            0.044
  9200         -240.582             0.092            0.044
  9300         -240.260             0.091            0.040
  9400         -242.323             0.090            0.040
  9500         -244.178             0.090            0.038
  9600         -241.087             0.089            0.038
  9700         -240.415             0.088            0.038
  9800         -241.293             0.087            0.038
  9900         -251.228             0.087            0.038
  10000         -241.768             0.086            0.038
  10100         -240.685             0.085            0.038
  10200         -240.514             0.084            0.038
  10300         -260.098             0.084            0.038
  10400         -239.999             0.084            0.038
  10500         -249.125             0.084            0.038
  10600         -240.372             0.083            0.038
  10700         -240.989             0.083            0.037
  10800         -241.298             0.082            0.037
  10900         -242.708             0.081            0.037
  11000         -241.926             0.081            0.037
  11100         -240.477             0.080            0.036
  11200         -247.739             0.079            0.036
  11300         -241.905             0.079            0.035
  11400         -240.921             0.078            0.035
  11500         -250.525             0.078            0.035
  11600         -240.498             0.078            0.036
  11700         -260.579             0.078            0.036
  11800         -243.674             0.078            0.037
  11900         -240.351             0.077            0.036
  12000         -240.824             0.076            0.036
  12100         -242.704             0.076            0.035
  12200         -240.904             0.075            0.035
  12300         -252.669             0.075            0.035
  12400         -250.316             0.074            0.035
  12500         -249.682             0.074            0.031
  12600         -243.237             0.074            0.031
  12700         -240.403             0.073            0.030
  12800         -241.662             0.072            0.030
  12900         -246.032             0.072            0.029
  13000         -240.676             0.072            0.029
  13100         -246.302             0.071            0.029
  13200         -240.326             0.071            0.029
  13300         -242.414             0.070            0.028
  13400         -244.448             0.070            0.028
  13500         -265.745             0.070            0.028
  13600         -241.087             0.070            0.029
  13700         -243.473             0.070            0.028
  13800         -240.026             0.069            0.028
  13900         -241.637             0.069            0.026
  14000         -241.792             0.069            0.026
  14100         -239.795             0.068            0.026
  14200         -242.224             0.068            0.026
  14300         -240.463             0.067            0.025
  14400         -241.823             0.067            0.025
  14500         -245.998             0.067            0.025
  14600         -244.815             0.066            0.025
  14700         -250.448             0.066            0.025
  14800         -241.249             0.066            0.025
  14900         -240.266             0.065            0.025
  15000         -240.887             0.065            0.025
  15100         -242.829             0.064            0.024
  15200         -244.352             0.064            0.024
  15300         -247.416             0.064            0.024
  15400         -240.215             0.063            0.024
  15500         -241.010             0.063            0.024
  15600         -241.425             0.063            0.024
  15700         -242.243             0.062            0.023
  15800         -243.479             0.062            0.023
  15900         -242.970             0.062            0.023
  16000         -248.361             0.061            0.023
  16100         -249.390             0.061            0.023
  16200         -240.988             0.061            0.023
  16300         -240.232             0.060            0.023
  16400         -243.221             0.060            0.023
  16500         -245.690             0.060            0.022
  16600         -240.236             0.060            0.023
  16700         -242.257             0.059            0.022
  16800         -244.746             0.059            0.022
  16900         -243.103             0.059            0.022
  17000         -242.872             0.058            0.022
  17100         -240.475             0.058            0.022
  17200         -243.973             0.058            0.022
  17300         -245.758             0.058            0.022
  17400         -240.802             0.057            0.022
  17500         -241.978             0.057            0.022
  17600         -243.434             0.057            0.022
  17700         -242.300             0.056            0.022
  17800         -240.154             0.056            0.022
